"";"ID";"Education";"number_survey"
"94";51907;"Some College";1
"95";51910;NA;1
"96";51911;"9 - 11th Grade";1
"97";51912;"9 - 11th Grade";1
"98";51921;"Some College";1
"99";51928;"Some College";1
"100";51933;"High School";1
"101";51943;"College Grad";1
"102";51944;"Some College";1
"103";51945;"9 - 11th Grade";1
"104";51951;"College Grad";1
"105";51952;"High School";1
"106";51954;NA;1
"107";51958;"College Grad";1
"108";51959;"8th Grade";1
"109";51961;"College Grad";1
"110";51962;NA;1
"111";51963;"Some College";1
"112";51964;"College Grad";1
"113";51966;"College Grad";1
"114";51970;NA;1
"115";51971;"8th Grade";1
"116";51973;"College Grad";1
"117";51974;"9 - 11th Grade";1
"118";51975;"Some College";1
"119";51976;"College Grad";1
"120";51979;NA;1
"121";51982;"8th Grade";1
"122";51983;"High School";1
"123";51984;NA;1
"124";51985;"High School";1
"125";51991;"Some College";1
"126";51996;"Some College";1
"127";51997;"9 - 11th Grade";1
"128";52004;NA;1
"129";52009;"College Grad";1
"130";52013;"College Grad";1
"131";52016;NA;1
"132";52017;"Some College";1
"133";52019;"College Grad";1
"134";52020;"8th Grade";1
"135";52022;NA;1
"136";52023;"Some College";1
"137";52027;"8th Grade";1
"138";52030;NA;1
"139";52031;"Some College";1
"140";52037;NA;1
"141";52038;NA;1
"142";52043;"Some College";1
"143";52044;"College Grad";1
"144";52050;"College Grad";1
"145";52054;"9 - 11th Grade";1
"146";52060;NA;1
"147";52063;"College Grad";1
"148";52066;NA;1
"149";52067;"9 - 11th Grade";1
"150";52068;"9 - 11th Grade";1
"151";52069;"9 - 11th Grade";1
"152";52075;NA;1
"153";52080;"College Grad";1
"154";52081;"College Grad";1
"155";52083;"Some College";1
"156";52085;"High School";1
"157";52088;"College Grad";1
"158";52089;NA;1
"159";52090;"College Grad";1
"160";52093;NA;1
"161";52094;"College Grad";1
"162";52099;"Some College";1
"163";52101;NA;1
"164";52102;NA;1
"165";52104;"High School";1
"166";52106;"Some College";1
"167";52107;"9 - 11th Grade";1
"168";52114;NA;1
"169";52115;"Some College";1
"170";52119;"9 - 11th Grade";1
"171";52120;"9 - 11th Grade";1
"172";52121;NA;1
"173";52122;"Some College";1
"174";52128;NA;1
"175";52131;"Some College";1
"176";52134;"8th Grade";1
"177";52135;"College Grad";1
"178";52145;"High School";1
"179";52148;"High School";1
"180";52149;"High School";1
"181";52151;"Some College";1
"182";52152;"Some College";1
"183";52154;"9 - 11th Grade";1
"184";52156;NA;1
"185";52157;"College Grad";1
"186";52159;"College Grad";1
"187";52160;"College Grad";1
"188";52163;NA;1
"189";52168;"9 - 11th Grade";1
"190";52177;NA;1
"191";52179;"Some College";1
"192";52185;"9 - 11th Grade";1
"193";52187;"Some College";1
"194";52189;NA;1
"195";52192;"Some College";1
"196";52193;"High School";1
"197";52194;NA;1
"198";52197;"Some College";1
"199";52202;"High School";1
"200";52204;"High School";1
"201";52205;"Some College";1
"202";52214;"High School";1
"203";52217;"Some College";1
"204";52219;NA;1
"205";52221;"College Grad";1
"206";52222;"College Grad";1
"207";52223;"High School";1
"208";52224;NA;1
"209";52226;"High School";1
"210";52229;"College Grad";1
"211";52231;"Some College";1
"212";52235;"9 - 11th Grade";1
"213";52243;"9 - 11th Grade";1
"214";52244;NA;1
"215";52245;"Some College";1
"216";52247;"Some College";1
"217";52248;"9 - 11th Grade";1
"218";52249;"Some College";1
"219";52251;"College Grad";1
"220";52253;NA;1
"221";52255;"8th Grade";1
"222";52259;"High School";1
"223";52264;NA;1
"224";52265;"College Grad";1
"225";52266;"9 - 11th Grade";1
"226";52268;"Some College";1
"227";52269;NA;1
"228";52272;"High School";1
"229";52274;"High School";1
"230";52276;"Some College";1
"231";52282;"High School";1
"232";52285;NA;1
"233";52287;NA;1
"234";52288;"Some College";1
"235";52289;"High School";1
"236";52290;"Some College";1
"237";52293;"College Grad";1
"238";52297;NA;1
"239";52298;NA;1
"240";52300;NA;1
"241";52302;NA;1
"242";52309;"9 - 11th Grade";1
"243";52310;"Some College";1
"244";52314;"High School";1
"245";52315;"High School";1
"246";52319;NA;1
"247";52326;"Some College";1
"248";52332;"Some College";1
"249";52333;"Some College";1
"250";52335;"High School";1
"251";52337;"8th Grade";1
"252";52338;NA;1
"253";52339;"Some College";1
"254";52343;"High School";1
"255";52345;"9 - 11th Grade";1
"256";52347;NA;1
"257";52348;"Some College";1
"258";52349;"8th Grade";1
"259";52356;"College Grad";1
"260";52357;NA;1
"261";52365;"9 - 11th Grade";1
"262";52366;"Some College";1
"263";52367;NA;1
"264";52368;"College Grad";1
"265";52369;"8th Grade";1
"266";52370;"High School";1
"267";52371;"Some College";1
"268";52372;"College Grad";1
"269";52373;NA;1
"270";52378;NA;1
"271";52381;"Some College";1
"272";52391;"High School";1
"273";52392;"8th Grade";1
"274";52395;"Some College";1
"275";52400;"Some College";1
"276";52402;NA;1
"277";52408;"9 - 11th Grade";1
"278";52411;"Some College";1
"279";52414;"Some College";1
"280";52417;"9 - 11th Grade";1
"281";52426;"High School";1
"282";52428;"Some College";1
"283";52430;"9 - 11th Grade";1
"284";52431;"High School";1
"285";52434;"9 - 11th Grade";1
"286";52435;NA;1
"287";52442;NA;1
"288";52444;"High School";1
"289";52445;"High School";1
"290";52446;"Some College";1
"291";52447;"Some College";1
"292";52450;"9 - 11th Grade";1
"293";52451;"College Grad";1
"294";52453;"College Grad";1
"295";52458;"High School";1
"296";52459;NA;1
"297";52460;NA;1
"298";52461;NA;1
"299";52462;"Some College";1
"300";52471;"Some College";1
"301";52472;NA;1
"302";52476;NA;1
"303";52479;NA;1
"304";52483;"Some College";1
"305";52484;"8th Grade";1
"306";52489;NA;1
"307";52491;NA;1
"308";52493;"8th Grade";1
"309";52494;"College Grad";1
"310";52496;"College Grad";1
"311";52501;"High School";1
"312";52505;NA;1
"313";52509;"Some College";1
"314";52510;"8th Grade";1
"315";52516;"College Grad";1
"316";52519;NA;1
"317";52522;NA;1
"318";52523;"9 - 11th Grade";1
"319";52524;"College Grad";1
"320";52529;NA;1
"321";52533;NA;1
"322";52534;NA;1
"323";52535;"High School";1
"324";52537;"High School";1
"325";52538;"College Grad";1
"326";52539;"9 - 11th Grade";1
"327";52540;NA;1
"328";52542;NA;1
"329";52543;"College Grad";1
"330";52545;"High School";1
"331";52548;"High School";1
"332";52550;"Some College";1
"333";52551;NA;1
"334";52552;"9 - 11th Grade";1
"335";52556;"Some College";1
"336";52562;"High School";1
"337";52563;"High School";1
"338";52567;"9 - 11th Grade";1
"339";52570;"Some College";1
"340";52575;"College Grad";1
"341";52577;"College Grad";1
"342";52578;NA;1
"343";52583;"Some College";1
"344";52584;"College Grad";1
"345";52585;"High School";1
"346";52586;"College Grad";1
"347";52587;"High School";1
"348";52591;"College Grad";1
"349";52599;"High School";1
"350";52606;"9 - 11th Grade";1
"351";52608;"Some College";1
"352";52611;"Some College";1
"353";52614;"High School";1
"354";52618;NA;1
"355";52621;"High School";1
"356";52623;NA;1
"357";52626;"9 - 11th Grade";1
"358";52629;"High School";1
"359";52631;"8th Grade";1
"360";52634;"High School";1
"361";52635;"High School";1
"362";52637;NA;1
"363";52639;NA;1
"364";52644;NA;1
"365";52647;"High School";1
"366";52648;"Some College";1
"367";52653;"College Grad";1
"368";52661;"Some College";1
"369";52662;NA;1
"370";52664;"High School";1
"371";52667;NA;1
"372";52670;NA;1
"373";52674;"High School";1
"374";52676;NA;1
"375";52680;NA;1
"376";52687;"9 - 11th Grade";1
"377";52689;"College Grad";1
"378";52691;"College Grad";1
"379";52693;"8th Grade";1
"380";52694;"8th Grade";1
"381";52695;"College Grad";1
"382";52696;"High School";1
"383";52700;"High School";1
"384";52701;NA;1
"385";52703;"College Grad";1
"386";52707;NA;1
"387";52708;"9 - 11th Grade";1
"388";52709;NA;1
"389";52712;NA;1
"390";52716;"9 - 11th Grade";1
"391";52717;"High School";1
"392";52718;"Some College";1
"393";52719;"College Grad";1
"394";52723;"High School";1
"395";52725;"Some College";1
"396";52727;"Some College";1
"397";52729;NA;1
"398";52730;"High School";1
"399";52731;"High School";1
"400";52734;"8th Grade";1
"401";52737;"High School";1
"402";52738;NA;1
"403";52740;NA;1
"404";52741;"9 - 11th Grade";1
"405";52746;"9 - 11th Grade";1
"406";52747;"9 - 11th Grade";1
"407";52750;"High School";1
"408";52754;"High School";1
"409";52762;NA;1
"410";52766;"College Grad";1
"411";52770;NA;1
"412";52773;"Some College";1
"413";52774;"College Grad";1
"414";52779;NA;1
"415";52780;"College Grad";1
"416";52789;"College Grad";1
"417";52792;NA;1
"418";52795;"Some College";1
"419";52799;NA;1
"420";52804;NA;1
"421";52805;NA;1
"422";52810;"High School";1
"423";52811;"College Grad";1
"424";52814;"College Grad";1
"425";52816;NA;1
"426";52817;NA;1
"427";52819;"8th Grade";1
"428";52825;"High School";1
"429";52828;NA;1
"430";52829;"College Grad";1
"431";52833;"Some College";1
"432";52834;NA;1
"433";52837;"College Grad";1
"434";52838;"Some College";1
"435";52841;"High School";1
"436";52842;"College Grad";1
"437";52843;"Some College";1
"438";52845;"High School";1
"439";52848;"8th Grade";1
"440";52849;"Some College";1
"441";52855;NA;1
"442";52856;"High School";1
"443";52864;"Some College";1
"444";52865;"College Grad";1
"445";52867;NA;1
"446";52870;"9 - 11th Grade";1
"447";52872;NA;1
"448";52878;"College Grad";1
"449";52884;"High School";1
"450";52886;"College Grad";1
"451";52888;NA;1
"452";52890;NA;1
"453";52894;"High School";1
"454";52896;NA;1
"455";52897;NA;1
"456";52898;"Some College";1
"457";52901;NA;1
"458";52903;"College Grad";1
"459";52905;"8th Grade";1
"460";52908;NA;1
"461";52915;"College Grad";1
"462";52922;NA;1
"463";52923;NA;1
"464";52927;"Some College";1
"465";52931;"College Grad";1
"466";52933;NA;1
"467";52934;NA;1
"468";52935;"Some College";1
"469";52941;"9 - 11th Grade";1
"470";52942;"High School";1
"471";52948;"Some College";1
"472";52950;NA;1
"473";52951;NA;1
"474";52953;"Some College";1
"475";52954;NA;1
"476";52956;"High School";1
"477";52958;NA;1
"478";52959;"High School";1
"479";52960;"College Grad";1
"480";52961;"Some College";1
"481";52964;"College Grad";1
"482";52965;"Some College";1
"483";52971;"Some College";1
"484";52974;NA;1
"485";52975;"College Grad";1
"486";52980;"Some College";1
"487";52981;NA;1
"488";52986;NA;1
"489";52987;NA;1
"490";52989;"College Grad";1
"491";52991;NA;1
"492";52995;"High School";1
"493";52996;"College Grad";1
"494";53000;"8th Grade";1
"495";53001;NA;1
"496";53002;NA;1
"497";53010;"9 - 11th Grade";1
"498";53012;"College Grad";1
"499";53013;NA;1
"500";53019;"Some College";1
"501";53022;NA;1
"502";53023;NA;1
"503";53030;NA;1
"504";53032;"Some College";1
"505";53034;NA;1
"506";53036;NA;1
"507";53037;NA;1
"508";53038;"College Grad";1
"509";53040;"Some College";1
"510";53044;"College Grad";1
"511";53051;"College Grad";1
"512";53058;"College Grad";1
"513";53061;NA;1
"514";53064;NA;1
"515";53066;"College Grad";1
"516";53068;"Some College";1
"517";53070;NA;1
"518";53072;"9 - 11th Grade";1
"519";53075;"High School";1
"520";53081;NA;1
"521";53085;"Some College";1
"522";53089;"9 - 11th Grade";1
"523";53095;"9 - 11th Grade";1
"524";53096;"8th Grade";1
"525";53098;"College Grad";1
"526";53099;NA;1
"527";53100;"College Grad";1
"528";53102;"9 - 11th Grade";1
"529";53103;"College Grad";1
"530";53104;"High School";1
"531";53109;"9 - 11th Grade";1
"532";53112;"9 - 11th Grade";1
"533";53118;"9 - 11th Grade";1
"534";53123;NA;1
"535";53124;"Some College";1
"536";53127;"College Grad";1
"537";53135;"College Grad";1
"538";53137;NA;1
"539";53138;NA;1
"540";53141;NA;1
"541";53143;"High School";1
"542";53146;"College Grad";1
"543";53151;"High School";1
"544";53152;NA;1
"545";53153;"High School";1
"546";53154;"Some College";1
"547";53155;"Some College";1
"548";53156;NA;1
"549";53157;NA;1
"550";53162;NA;1
"551";53163;"Some College";1
"552";53165;"High School";1
"553";53167;NA;1
"554";53168;"Some College";1
"555";53171;"Some College";1
"556";53172;NA;1
"557";53173;NA;1
"558";53174;"9 - 11th Grade";1
"559";53176;"High School";1
"560";53179;NA;1
"561";53181;"College Grad";1
"562";53187;NA;1
"563";53190;"8th Grade";1
"564";53191;"College Grad";1
"565";53197;"9 - 11th Grade";1
"566";53198;"Some College";1
"567";53200;NA;1
"568";53201;"8th Grade";1
"569";53205;NA;1
"570";53206;"High School";1
"571";53207;"Some College";1
"572";53208;NA;1
"573";53215;"Some College";1
"574";53217;"High School";1
"575";53221;"Some College";1
"576";53222;"Some College";1
"577";53229;"Some College";1
"578";53235;NA;1
"579";53242;"High School";1
"580";53243;"Some College";1
"581";53248;NA;1
"582";53253;"High School";1
"583";53254;"9 - 11th Grade";1
"584";53257;NA;1
"585";53260;"College Grad";1
"586";53261;"College Grad";1
"587";53266;"9 - 11th Grade";1
"588";53268;"9 - 11th Grade";1
"589";53273;"8th Grade";1
"590";53274;"9 - 11th Grade";1
"591";53279;"High School";1
"592";53281;NA;1
"593";53285;"High School";1
"594";53291;"College Grad";1
"595";53294;"9 - 11th Grade";1
"596";53295;"Some College";1
"597";53296;NA;1
"598";53297;NA;1
"599";53302;"Some College";1
"600";53309;NA;1
"601";53316;"9 - 11th Grade";1
"602";53318;"High School";1
"603";53320;NA;1
"604";53322;"Some College";1
"605";53323;NA;1
"606";53324;NA;1
"607";53325;"9 - 11th Grade";1
"608";53330;"Some College";1
"609";53332;NA;1
"610";53345;"High School";1
"611";53346;"High School";1
"612";53351;"College Grad";1
"613";53353;"High School";1
"614";53355;NA;1
"615";53359;"College Grad";1
"616";53365;NA;1
"617";53366;"College Grad";1
"618";53368;NA;1
"619";53369;"9 - 11th Grade";1
"620";53371;"9 - 11th Grade";1
"621";53375;"College Grad";1
"622";53377;"Some College";1
"623";53382;"College Grad";1
"624";53385;"High School";1
"625";53386;"College Grad";1
"626";53387;NA;1
"627";53389;"High School";1
"628";53391;NA;1
"629";53395;"High School";1
"630";53396;"High School";1
"631";53398;NA;1
"632";53400;"Some College";1
"633";53402;"Some College";1
"634";53404;"Some College";1
"635";53405;NA;1
"636";53413;"Some College";1
"637";53417;NA;1
"638";53418;"Some College";1
"639";53425;"College Grad";1
"640";53427;"College Grad";1
"641";53428;"8th Grade";1
"642";53433;NA;1
"643";53434;"High School";1
"644";53435;NA;1
"645";53438;"9 - 11th Grade";1
"646";53439;"College Grad";1
"647";53440;NA;1
"648";53444;"8th Grade";1
"649";53446;"9 - 11th Grade";1
"650";53448;NA;1
"651";53457;"8th Grade";1
"652";53458;NA;1
"653";53461;"College Grad";1
"654";53465;"9 - 11th Grade";1
"655";53468;"High School";1
"656";53469;NA;1
"657";53472;"High School";1
"658";53476;"Some College";1
"659";53481;"9 - 11th Grade";1
"660";53485;"College Grad";1
"661";53487;"College Grad";1
"662";53491;NA;1
"663";53492;"High School";1
"664";53494;"Some College";1
"665";53495;"Some College";1
"666";53496;"High School";1
"667";53498;NA;1
"668";53500;"College Grad";1
"669";53503;"College Grad";1
"670";53507;"Some College";1
"671";53512;NA;1
"672";53514;"High School";1
"673";53515;"High School";1
"674";53516;"High School";1
"675";53517;NA;1
"676";53522;"College Grad";1
"677";53524;"9 - 11th Grade";1
"678";53526;"College Grad";1
"679";53528;"Some College";1
"680";53529;"9 - 11th Grade";1
"681";53532;"High School";1
"682";53533;"9 - 11th Grade";1
"683";53534;"Some College";1
"684";53545;NA;1
"685";53547;NA;1
"686";53548;"College Grad";1
"687";53550;"College Grad";1
"688";53553;NA;1
"689";53559;"High School";1
"690";53563;"High School";1
"691";53569;"College Grad";1
"692";53572;"Some College";1
"693";53573;"High School";1
"694";53576;"8th Grade";1
"695";53585;"College Grad";1
"696";53603;NA;1
"697";53604;"College Grad";1
"698";53606;"High School";1
"699";53608;"8th Grade";1
"700";53610;"High School";1
"701";53613;"9 - 11th Grade";1
"702";53615;NA;1
"703";53618;"Some College";1
"704";53619;NA;1
"705";53621;"9 - 11th Grade";1
"706";53625;"Some College";1
"707";53629;NA;1
"708";53631;"Some College";1
"709";53636;NA;1
"710";53638;NA;1
"711";53639;"High School";1
"712";53640;"High School";1
"713";53641;"8th Grade";1
"714";53646;"High School";1
"715";53656;"College Grad";1
"716";53661;NA;1
"717";53664;"8th Grade";1
"718";53668;NA;1
"719";53670;"High School";1
"720";53671;NA;1
"721";53672;"College Grad";1
"722";53673;NA;1
"723";53676;"Some College";1
"724";53680;NA;1
"725";53683;"College Grad";1
"726";53684;"8th Grade";1
"727";53687;NA;1
"728";53688;"College Grad";1
"729";53689;NA;1
"730";53698;"Some College";1
"731";53700;"9 - 11th Grade";1
"732";53702;"High School";1
"733";53704;"High School";1
"734";53709;NA;1
"735";53714;"High School";1
"736";53715;"Some College";1
"737";53720;"High School";1
"738";53724;"9 - 11th Grade";1
"739";53725;"College Grad";1
"740";53735;"8th Grade";1
"741";53742;"College Grad";1
"742";53746;"Some College";1
"743";53750;"Some College";1
"744";53753;"High School";1
"745";53761;"Some College";1
"746";53763;"College Grad";1
"747";53765;NA;1
"748";53768;NA;1
"749";53769;"High School";1
"750";53770;"9 - 11th Grade";1
"751";53773;"High School";1
"752";53775;"Some College";1
"753";53777;"Some College";1
"754";53779;"9 - 11th Grade";1
"755";53781;"College Grad";1
"756";53788;"College Grad";1
"757";53790;"College Grad";1
"758";53794;"College Grad";1
"759";53798;NA;1
"760";53799;NA;1
"761";53800;"9 - 11th Grade";1
"762";53804;NA;1
"763";53807;"Some College";1
"764";53811;"High School";1
"765";53812;NA;1
"766";53817;"Some College";1
"767";53826;"9 - 11th Grade";1
"768";53828;NA;1
"769";53829;"8th Grade";1
"770";53830;NA;1
"771";53834;"Some College";1
"772";53840;NA;1
"773";53842;"Some College";1
"774";53848;"Some College";1
"775";53851;NA;1
"776";53856;"Some College";1
"777";53857;"Some College";1
"778";53858;"High School";1
"779";53859;NA;1
"780";53863;NA;1
"781";53864;"9 - 11th Grade";1
"782";53865;NA;1
"783";53876;"High School";1
"784";53880;"High School";1
"785";53881;"Some College";1
"786";53882;NA;1
"787";53883;"High School";1
"788";53886;"High School";1
"789";53890;NA;1
"790";53894;NA;1
"791";53896;NA;1
"792";53899;NA;1
"793";53906;"9 - 11th Grade";1
"794";53908;"High School";1
"795";53910;"High School";1
"796";53911;"Some College";1
"797";53913;"Some College";1
"798";53914;"Some College";1
"799";53915;NA;1
"800";53923;"9 - 11th Grade";1
"801";53929;NA;1
"802";53930;NA;1
"803";53931;NA;1
"804";53936;"College Grad";1
"805";53937;"9 - 11th Grade";1
"806";53938;NA;1
"807";53941;NA;1
"808";53945;NA;1
"809";53949;"8th Grade";1
"810";53950;"Some College";1
"811";53954;"High School";1
"812";53955;"High School";1
"813";53956;"High School";1
"814";53958;"Some College";1
"815";53961;"High School";1
"816";53965;"Some College";1
"817";53968;"College Grad";1
"818";53971;"9 - 11th Grade";1
"819";53972;"College Grad";1
"820";53974;"Some College";1
"821";53976;NA;1
"822";53979;"College Grad";1
"823";53980;NA;1
"824";53982;NA;1
"825";53983;"Some College";1
"826";53990;"8th Grade";1
"827";53991;"8th Grade";1
"828";53998;"8th Grade";1
"829";54000;"Some College";1
"830";54001;"Some College";1
"831";54006;"Some College";1
"832";54010;"Some College";1
"833";54011;"9 - 11th Grade";1
"834";54018;NA;1
"835";54020;"9 - 11th Grade";1
"836";54021;"8th Grade";1
"837";54025;"High School";1
"838";54027;"Some College";1
"839";54029;NA;1
"840";54030;"Some College";1
"841";54032;"High School";1
"842";54035;"9 - 11th Grade";1
"843";54038;"High School";1
"844";54039;NA;1
"845";54040;NA;1
"846";54041;"Some College";1
"847";54043;"Some College";1
"848";54046;"College Grad";1
"849";54056;NA;1
"850";54061;"9 - 11th Grade";1
"851";54062;"College Grad";1
"852";54066;"Some College";1
"853";54069;"Some College";1
"854";54071;NA;1
"855";54073;"High School";1
"856";54082;"Some College";1
"857";54084;NA;1
"858";54086;"Some College";1
"859";54090;"Some College";1
"860";54092;"Some College";1
"861";54094;"High School";1
"862";54096;"College Grad";1
"863";54097;NA;1
"864";54098;NA;1
"865";54099;NA;1
"866";54100;NA;1
"867";54104;"College Grad";1
"868";54106;"Some College";1
"869";54107;"College Grad";1
"870";54108;"High School";1
"871";54115;NA;1
"872";54117;NA;1
"873";54119;"College Grad";1
"874";54120;NA;1
"875";54121;NA;1
"876";54123;"9 - 11th Grade";1
"877";54125;"High School";1
"878";54128;NA;1
"879";54130;"Some College";1
"880";54131;"College Grad";1
"881";54135;"College Grad";1
"882";54136;"Some College";1
"883";54137;"High School";1
"884";54138;NA;1
"885";54139;"High School";1
"886";54140;"High School";1
"887";54142;"Some College";1
"888";54148;"9 - 11th Grade";1
"889";54151;NA;1
"890";54152;"Some College";1
"891";54157;"9 - 11th Grade";1
"892";54158;"Some College";1
"893";54162;"9 - 11th Grade";1
"894";54169;"Some College";1
"895";54171;"High School";1
"896";54172;"Some College";1
"897";54173;"College Grad";1
"898";54181;NA;1
"899";54188;NA;1
"900";54192;"High School";1
"901";54196;"College Grad";1
"902";54201;NA;1
"903";54215;"College Grad";1
"904";54221;NA;1
"905";54223;"College Grad";1
"906";54244;NA;1
"907";54248;NA;1
"908";54253;"Some College";1
"909";54254;"Some College";1
"910";54256;"High School";1
"911";54261;NA;1
"912";54263;NA;1
"913";54267;"High School";1
"914";54271;NA;1
"915";54278;"High School";1
"916";54281;NA;1
"917";54284;"Some College";1
"918";54285;NA;1
"919";54286;"8th Grade";1
"920";54288;"9 - 11th Grade";1
"921";54289;NA;1
"922";54290;"9 - 11th Grade";1
"923";54292;"Some College";1
"924";54293;NA;1
"925";54295;"College Grad";1
"926";54298;"High School";1
"927";54300;NA;1
"928";54301;"8th Grade";1
"929";54305;"Some College";1
"930";54306;"College Grad";1
"931";54310;"Some College";1
"932";54311;NA;1
"933";54312;"8th Grade";1
"934";54313;NA;1
"935";54315;NA;1
"936";54320;NA;1
"937";54334;"High School";1
"938";54335;"Some College";1
"939";54336;"High School";1
"940";54339;"College Grad";1
"941";54340;NA;1
"942";54343;"9 - 11th Grade";1
"943";54345;NA;1
"944";54347;NA;1
"945";54350;NA;1
"946";54352;NA;1
"947";54353;NA;1
"948";54356;"College Grad";1
"949";54360;NA;1
"950";54362;NA;1
"951";54371;"Some College";1
"952";54372;NA;1
"953";54373;NA;1
"954";54375;"High School";1
"955";54376;NA;1
"956";54380;NA;1
"957";54381;"Some College";1
"958";54382;NA;1
"959";54383;"Some College";1
"960";54385;NA;1
"961";54392;"Some College";1
"962";54396;"Some College";1
"963";54400;NA;1
"964";54401;"Some College";1
"965";54402;NA;1
"966";54408;NA;1
"967";54409;"Some College";1
"968";54412;NA;1
"969";54415;"High School";1
"970";54418;"9 - 11th Grade";1
"971";54426;NA;1
"972";54430;"College Grad";1
"973";54431;"College Grad";1
"974";54432;"8th Grade";1
"975";54437;"College Grad";1
"976";54439;"8th Grade";1
"977";54442;"College Grad";1
"978";54443;"Some College";1
"979";54444;"High School";1
"980";54449;"Some College";1
"981";54456;"High School";1
"982";54459;"Some College";1
"983";54460;"High School";1
"984";54461;"Some College";1
"985";54463;"Some College";1
"986";54464;"8th Grade";1
"987";54468;"9 - 11th Grade";1
"988";54471;"8th Grade";1
"989";54473;"9 - 11th Grade";1
"990";54474;"Some College";1
"991";54478;"High School";1
"992";54479;"Some College";1
"993";54481;"9 - 11th Grade";1
"994";54484;"High School";1
"995";54487;"Some College";1
"996";54489;"Some College";1
"997";54490;NA;1
"998";54491;"Some College";1
"999";54492;"College Grad";1
"1000";54493;"8th Grade";1
"1001";54498;"Some College";1
"1002";54499;NA;1
"1003";54503;"High School";1
"1004";54509;"8th Grade";1
"1005";54514;NA;1
"1006";54516;"Some College";1
"1007";54520;"High School";1
"1008";54522;NA;1
"1009";54526;"9 - 11th Grade";1
"1010";54530;NA;1
"1011";54531;NA;1
"1012";54532;"High School";1
"1013";54533;"8th Grade";1
"1014";54534;"High School";1
"1015";54538;"9 - 11th Grade";1
"1016";54542;"Some College";1
"1017";54544;"High School";1
"1018";54550;"Some College";1
"1019";54551;"High School";1
"1020";54552;NA;1
"1021";54553;"College Grad";1
"1022";54556;"College Grad";1
"1023";54560;"8th Grade";1
"1024";54563;"Some College";1
"1025";54564;"Some College";1
"1026";54565;"Some College";1
"1027";54567;"9 - 11th Grade";1
"1028";54571;NA;1
"1029";54572;NA;1
"1030";54575;"Some College";1
"1031";54586;"Some College";1
"1032";54590;NA;1
"1033";54600;"College Grad";1
"1034";54602;NA;1
"1035";54604;"9 - 11th Grade";1
"1036";54615;"9 - 11th Grade";1
"1037";54617;NA;1
"1038";54618;"College Grad";1
"1039";54619;"9 - 11th Grade";1
"1040";54621;NA;1
"1041";54622;"Some College";1
"1042";54627;"Some College";1
"1043";54628;"Some College";1
"1044";54631;"Some College";1
"1045";54633;"Some College";1
"1046";54636;"9 - 11th Grade";1
"1047";54637;"Some College";1
"1048";54638;"Some College";1
"1049";54640;"Some College";1
"1050";54643;"College Grad";1
"1051";54644;"College Grad";1
"1052";54651;"High School";1
"1053";54654;NA;1
"1054";54659;"High School";1
"1055";54660;"Some College";1
